levenshtein_norm,jaro_winkler,token_sort_ratio,ngram_bigram,ngram_trigram,soundex_match,metaphone_match,prefix5_match,length_ratio,label
0.11111111111111116,0.23529411764705888,0.23529411764705888,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0
0.7,0.7777777777777779,0.7777777777777779,0.45454545454545453,0.2727272727272727,0.0,0.0,0.0,0.8,1
0.19999999999999996,0.45,0.375,0.0,0.0,0.0,0.0,0.0,0.6,0
0.75,0.8571428571428572,0.8571428571428572,0.7,0.7,0.0,0.0,0.0,0.75,1
0.19999999999999996,0.42105263157894735,0.42105263157894735,0.0625,0.0,0.0,0.0,0.0,0.9,0
0.125,0.38,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.375,0
0.0,0.1428571428571429,0.1428571428571429,0.0,0.0,0.0,0.0,0.0,1.0,0
0.6666666666666667,0.6956521739130435,0.6956521739130435,0.23529411764705882,0.11764705882352941,1.0,0.0,0.0,0.9166666666666666,1
0.11111111111111116,0.2571428571428571,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0
0.09999999999999998,0.30000000000000004,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,1.0,0
0.7857142857142857,0.88,0.88,0.7,0.7272727272727273,0.0,0.0,0.0,0.7857142857142857,1
0.09999999999999998,0.30000000000000004,0.1428571428571429,0.0,0.0,0.0,0.0,0.0,0.4,0
0.16666666666666663,0.225,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0
0.0714285714285714,0.30000000000000004,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.5,0
0.8181818181818181,0.8181818181818181,0.8181818181818181,0.6666666666666666,0.6363636363636364,1.0,0.0,1.0,1.0,1
0.4,0.475,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1
0.1578947368421053,0.320625,0.2068965517241379,0.041666666666666664,0.0,0.0,0.0,0.0,0.5263157894736842,0
0.125,0.3272727272727273,0.16666666666666663,0.0,0.0,0.0,0.0,0.0,0.5,0
0.18181818181818177,0.30000000000000004,0.23529411764705888,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0
0.0,0.1333333333333333,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.875,0
0.125,0.1428571428571429,0.1428571428571429,0.0,0.0,0.0,0.0,0.0,0.75,0
0.18181818181818177,0.36,0.2941176470588235,0.034482758620689655,0.0,0.0,0.0,0.0,0.5454545454545454,1
0.19999999999999996,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.8,0
0.16666666666666663,0.45,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0
0.23076923076923073,0.43478260869565216,0.43478260869565216,0.10526315789473684,0.05555555555555555,0.0,0.0,0.0,0.7692307692307693,0
0.25,0.2666666666666667,0.2666666666666667,0.08333333333333333,0.0,0.0,0.0,0.0,0.875,0
0.2222222222222222,0.25,0.25,0.07692307692307693,0.0,0.0,0.0,0.0,0.7777777777777778,0
0.1428571428571429,0.30000000000000004,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0
0.05555555555555558,0.27692307692307694,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,0.3888888888888889,0
0.09090909090909094,0.19047619047619047,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0
0.09999999999999998,0.23529411764705888,0.23529411764705888,0.0,0.0,0.0,0.0,0.0,0.7,0
0.19999999999999996,0.2222222222222222,0.2222222222222222,0.06666666666666667,0.0,0.0,0.0,0.0,0.8,0
0.25,0.36,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0
0.11111111111111116,0.5142857142857142,0.2857142857142857,0.09090909090909091,0.0,0.0,0.0,0.0,0.5555555555555556,0
0.09999999999999998,0.2,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.5,0
0.08333333333333337,0.30000000000000004,0.21052631578947367,0.0625,0.0,0.0,0.0,0.0,0.5833333333333334,0
0.2857142857142857,0.4615384615384615,0.4615384615384615,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,1
0.6923076923076923,0.7692307692307692,0.7692307692307692,0.4117647058823529,0.29411764705882354,1.0,0.0,0.0,1.0,1
0.125,0.2666666666666667,0.2666666666666667,0.0,0.0,0.0,0.0,0.0,0.875,0
