drug1,drug2
infliximab,rituximab
aricept,azilect
rifadin,rifater
rapaflo,rapamune
vinblastine,vincristine
testoderm,testoderm tts
prilosec,prozac
amiodarone,amiodipine
tolazamide,tolbutamide
normodyne,norpramin
penicillamine,penicillin
sumatriptan,zolmitriptan
lipitor,loniten
tylenol,tylenol pm
nifedipine,nimodipine
cetirizine,stavudine
flonase,flovent
methylprednisolone,prednisone
ado-trastuzumab emtansine,trastuzumab
ritalin,ritodrine
celebrex,cerebyx
codeine,lodine
nexavar,nexium
covaryx hs,covera hs
cetirizine,sertraline
diabeta,zebeta
jantoven,janumet
pazopanib,ponatinib
estratest,estratest hs
floranex,florinef
zyrtec,zyrtecitchy eye drops
clonazepam,clonidine
metformin,metronidazole
lanoxin,naloxone
bayrab,bayrho-d
materna,matulane
antacid,atacand
methadone,metolazone
lunesta,neulasta
lupron depot-3 month,lupron depot-ped
oxaprozin,oxcarbazepine
celebrex,celexa
tramadol,trazodone
miralax,mirapex
lopressor,lyrica
advicor,altocor
bextra,zetia
dioval,diovan
lasix,luvox
pneumococcal 7-valent vaccine,pneumococcal polyvalent vaccine
testoderm,testoderm with adhesive
occlusal-hp,ocuflox
edetate calcium disodium,edetate disodium
accupril,aciphex
b   o,beano
neumega,neupogen
janumet,januvia
mifepristone,misoprostol
dactinomycin,daptomycin
quinidine,quinine
coagulation factor ix,factor ix complex  vapor heated
25 humulin70 30 kapidex casodex,humalogmix 75
sertraline,soriatane
narcan,norcuron
fluoxetine,loxitane
fentanyl,sufentanil
prenexa,ranexa
l-dopa,levodopa
doxil,paxil
avandia,coumadin
avandia,prandin
bayhep-b,bayrab
percocet,procet
xeloda,xenical
tegretol,tegretol xr
zovirax,zyvox
clonazepam,lorazepam
sotalol,sudafed
tequin,ticlid
kwell,qwell
letairis,letaris
amantadine,ranitidine
seroquel,serzone
glipizide,glyburide
guaifenesin,guanfacine
valcyte,valtrex
paroxetine,piroxicam
appear in black  generic,other products appear in red
viokase,viokase 8
vesanoid,vesicare
lorazepam,lovaza
sinequan,singulair
folex,foltx
tracleer,tricor
dilaudid,dilaudid-5
clomiphene,clomipramine
zyprexa,zyrtec
effexor,effexor xr
alprazolam,lorazepam
dobutamine,dopamine
seroquel,sinequan
zebeta,zetia
aldara,alora
aripiprazole,proton pump inhibitors
testoderm tts,testoderm with adhesive
diabenese,diamox
aggrastat,aggrenox
colace,cozaar
daunorubicin,idarubicin
ambisome,amphotericin b
lamivudine,lamotrigine
paclitaxel,paclitaxel protein-bound particles
daunorubicin,doxorubicin
alkeran,leukeran
intuniv,invega
desyrel,seroquel
levetiracetam,levocarnitine
salagen,selegiline
ketorolac,methadone
